trips,mmsi,time,lat,lon,sog,cog,vessel_type,flag
15.0,338691000.0,2020-06-10 15:39:28,37.865,-122.4936,0.0,70.3,30.0,United States of America
15.0,338691000.0,2020-06-10 23:25:46,37.865,-122.4936,0.0,341.9,30.0,United States of America
15.0,338691000.0,2020-06-12 16:30:53,37.8479,-122.4732,6.3,189.0,30.0,United States of America
15.0,338691000.0,2020-06-12 17:41:04,37.7957,-122.3877,5.2,162.3,30.0,United States of America
15.0,338691000.0,2020-06-12 17:42:14,37.7952,-122.3864,3.5,60.9,30.0,United States of America
15.0,338691000.0,2020-06-12 18:53:34,37.8878,-122.405,1.7,3.6,30.0,United States of America
15.0,338691000.0,2020-06-12 18:54:43,37.8882,-122.4051,1.0,295.9,30.0,United States of America
15.0,338691000.0,2020-06-12 20:30:24,37.8654,-122.4929,0.8,248.1,30.0,United States of America
15.0,338691000.0,2020-06-12 20:31:34,37.8653,-122.4932,0.2,244.5,30.0,United States of America
15.0,338691000.0,2020-06-13 15:40:54,37.8654,-122.493,0.1,167.9,30.0,United States of America
15.0,338691000.0,2020-06-13 15:42:03,37.8659,-122.4928,0.3,127.2,30.0,United States of America
15.0,338691000.0,2020-06-13 17:15:05,37.8032,-122.4854,4.9,168.0,30.0,United States of America
15.0,338691000.0,2020-06-13 17:16:15,37.8018,-122.4854,2.1,211.2,30.0,United States of America
15.0,338691000.0,2020-06-13 18:44:34,37.8666,-122.4895,3.3,297.7,30.0,United States of America
15.0,338691000.0,2020-06-13 18:45:43,37.8667,-122.4908,2.7,250.1,30.0,United States of America
15.0,338691000.0,2020-06-14 15:56:31,37.8653,-122.4932,0.0,258.7,30.0,United States of America
15.0,338691000.0,2020-06-14 15:57:42,37.8654,-122.4931,0.1,258.7,30.0,United States of America
15.0,338691000.0,2020-06-14 17:39:12,37.8129,-122.4169,2.9,123.7,30.0,United States of America
15.0,338691000.0,2020-06-14 17:40:23,37.8122,-122.4166,1.3,185.0,30.0,United States of America
15.0,338691000.0,2020-06-14 19:52:42,37.8653,-122.4933,0.0,238.5,30.0,United States of America
16.0,366813420.0,2020-04-23 23:16:27,37.9239,-122.3742,0.1,360.0,30.0,United States of America
16.0,366813420.0,2020-05-03 19:39:43,37.9243,-122.3758,0.2,360.0,30.0,United States of America
16.0,366813420.0,2020-05-03 19:45:11,37.9242,-122.3752,2.2,129.2,30.0,United States of America
16.0,366813420.0,2020-05-03 23:38:12,37.6032,-122.5461,8.1,175.0,30.0,United States of America
16.0,366813420.0,2020-05-03 23:39:41,37.6,-122.5457,7.1,178.5,30.0,United States of America
16.0,366813420.0,2020-05-05 15:50:39,37.6014,-122.5394,6.5,0.4,30.0,United States of America
16.0,366813420.0,2020-05-05 19:26:09,37.9242,-122.3744,0.3,360.0,30.0,United States of America
16.0,366813420.0,2020-05-05 19:27:39,37.9243,-122.3745,0.3,360.0,30.0,United States of America
16.0,366813420.0,2020-05-08 01:29:00,37.9208,-122.3698,4.8,127.9,30.0,United States of America
16.0,366813420.0,2020-05-08 01:30:34,37.9195,-122.3676,4.8,124.1,30.0,United States of America
16.0,366813420.0,2020-05-08 05:06:03,37.6041,-122.5487,7.2,171.6,30.0,United States of America
16.0,366813420.0,2020-05-08 05:07:32,37.6013,-122.5482,6.5,175.4,30.0,United States of America
16.0,366813420.0,2020-06-28 12:12:21,37.9647,-122.8978,7.2,137.9,30.0,United States of America
16.0,366813420.0,2020-06-28 14:17:19,37.8404,-122.724,6.3,35.2,30.0,United States of America
16.0,366813420.0,2020-06-28 14:18:49,37.8424,-122.7219,6.6,38.6,30.0,United States of America
16.0,366813420.0,2020-06-28 18:26:58,37.9974,-122.8982,5.5,306.6,30.0,United States of America
17.0,366853960.0,2020-04-23 08:55:07,37.8766,-122.8978,9.7,119.7,30.0,United States of America
17.0,366853960.0,2020-04-23 11:33:04,37.6048,-122.5579,9.2,178.1,30.0,United States of America
18.0,366926350.0,2020-04-23 17:43:26,37.8091,-122.4189,0.0,258.9,30.0,United States of America
18.0,366926350.0,2020-05-14 20:49:46,37.7654,-122.5723,1.9,149.9,30.0,United States of America
19.0,367008570.0,2020-06-03 13:23:27,37.6015,-122.5762,6.0,345.9,30.0,United States of America
19.0,367008570.0,2020-06-23 05:07:23,37.6,-122.8054,7.5,134.5,30.0,United States of America
20.0,367103580.0,2020-06-19 02:08:28,37.6907,-122.7693,7.3,31.6,30.0,United States of America
20.0,367103580.0,2020-06-19 21:00:59,37.6006,-122.7524,2.6,213.7,30.0,United States of America
21.0,367108530.0,2020-06-26 22:46:38,37.6015,-122.7555,7.6,336.3,30.0,United States of America
21.0,367108530.0,2020-06-29 23:36:40,37.9931,-122.8984,7.3,291.5,30.0,United States of America
22.0,367109680.0,2020-05-29 12:38:36,37.7017,-122.8996,8.2,168.4,30.0,United States of America
